experiment,n,paired,mean,std,baseline_mean,delta,t_stat,t_pvalue,cohens_d,t_pvalue_fdr_reject_at_0.05
E1_no_freq_adaptive_exit,3,True,0.9979127740102244,9.424682714638741e-05,0.9980152821105714,-0.00010250810034706515,-2.721919695545519,0.11262516410471558,-0.7854986069182813,False
E2_bce_instead_of_asl,3,True,0.9980152821105714,0.00015867699646799764,0.9980152821105714,0.0,,,0.0,False
E3_no_depth_adaptive_patience,3,True,0.9980152821105714,0.00015867699646799764,0.9980152821105714,0.0,,,0.0,False
E4_no_exit_logit_smoothing,3,True,0.997976988122191,3.637077023222593e-05,0.9980152821105714,-3.82939883804001e-05,-0.3788675402678101,0.7412254630073103,-0.33266924135848785,False
E5_fully_frozen_backbone,3,True,0.5629990405014181,0.005414117355681719,0.9980152821105714,-0.4350162416091533,-135.5305220092215,5.44365150558329e-05,-113.58117676685671,True
E6_single_task_exit,3,True,0.9980152821105714,0.00015867699646799764,0.9980152821105714,0.0,,,0.0,False
