unfrozen_ratio,n,paired,mean,std,baseline_mean,delta,t_stat,t_pvalue,cohens_d,t_pvalue_fdr_reject_at_0.05
0.0,3,True,0.5629990405014181,0.005414117355681719,0.9980461735439579,-0.4350471330425397,-137.09213877871875,5.320350401010455e-05,-113.62477776514854,True
0.1,3,True,0.9963851145202378,0.0004257771036908979,0.9980461735439579,-0.0016610590237200462,-5.713361620575614,0.02929538595146685,-5.416092266725785,False
0.2,3,True,0.9973582536255231,0.000261425002786057,0.9980461735439579,-0.000687919918434754,-6.496804373138131,0.0228818917099448,-3.5482924260627406,False
0.3,3,True,0.9974312849390709,0.0005865443748673237,0.9980461735439579,-0.0006148886048870095,-1.9967133146678164,0.1839514162388111,-1.4680516174953921,False
0.4,3,True,0.9980175598276806,0.0002354543191338701,0.9980461735439579,-2.8613716277270385e-05,-0.28199964102361347,0.8044460430517009,-0.16216281968810975,False
0.6,3,True,0.9979483610183206,0.0002884670971025588,0.9980461735439579,-9.781252563723086e-05,-0.748412720365113,0.5322531586277646,-0.460979710178015,False
0.7,3,True,0.9979837184877316,0.00026666802656476516,0.9980461735439579,-6.245505622626268e-05,-0.5803583248176966,0.6203494969731459,-0.31636973238337107,False
0.8,3,True,0.9981107472373862,0.000122135445116619,0.9980461735439579,6.457369342838248e-05,0.9303296100420426,0.45041402891312443,0.6192440335937367,False
0.9,3,True,0.997752850548132,0.0006600022266268106,0.9980461735439579,-0.000293322995825851,-0.8317558001358228,0.49304079285621727,-0.6236443155356842,False
1.0,3,True,0.9980469798096482,8.617939147292691e-05,0.9980461735439579,8.062656903229382e-07,0.03192071291412101,0.9774343949099642,0.009549220645462986,False
