experiment,n,paired,mean,std,baseline_mean,delta,t_stat,t_pvalue,cohens_d,t_pvalue_fdr_reject_at_0.05
E1_no_freq_adaptive_exit,3,True,0.9975016397713148,1.7169290038631846e-05,0.9974940069378023,7.632833512460913e-06,0.3544806104005458,0.756865861776656,0.21420134059060617,False
E2_bce_instead_of_asl,3,True,0.9974940069378023,4.737898311045318e-05,0.9974940069378023,0.0,,,0.0,False
E3_no_depth_adaptive_patience,3,True,0.9974940069378023,4.737898311045318e-05,0.9974940069378023,0.0,,,0.0,False
E4_no_exit_logit_smoothing,3,True,0.9974844047798306,3.085254925610757e-05,0.9974940069378023,-9.60215797174424e-06,-1.0,0.42264973081037427,-0.2401797825653666,False
E5_fully_frozen_backbone,3,True,0.7637806655107627,0.008583788698443107,0.9974940069378023,-0.2337133414270396,-46.90289598314828,0.0004542601919436579,-38.50462238567443,True
E6_single_task_exit,3,True,0.9974940069378023,4.737898311045318e-05,0.9974940069378023,0.0,,,0.0,False
