unfrozen_ratio,n,paired,mean,std,baseline_mean,delta,t_stat,t_pvalue,cohens_d,t_pvalue_fdr_reject_at_0.05
0.0,3,True,0.7637806655107627,0.008583788698443107,0.9969444663752429,-0.2331638008644802,-44.586474536996,0.0005026505805741225,-38.31694823021843,True
0.1,3,True,0.9966516059705398,0.00045756625838607904,0.9969444663752429,-0.00029286040470311026,-0.5212193249604697,0.6541817348367921,-0.5411877838154798,False
0.2,3,True,0.9973795722377713,0.00011077162708691668,0.9969444663752429,0.00043510586252837324,1.1428576598473568,0.37146046694317103,0.9871236952076973,False
0.3,3,True,0.9975287280307223,0.000391193921853728,0.9969444663752429,0.0005842616554794233,1.038749348245987,0.40802153922137463,1.1356785936811578,False
0.4,3,True,0.9973871158832149,0.00012575095991970267,0.9969444663752429,0.00044264950797201497,1.0805271329587625,0.39287977699243437,0.9996908153127441,False
0.6,3,True,0.9973896950841542,0.0001705798797426697,0.9969444663752429,0.00044522870891128274,0.9978026022944476,0.4234964392911005,0.9889042635440964,False
0.7,3,True,0.9973837871372012,0.00031099738691251616,0.9969444663752429,0.00043932076195829506,0.8755260558608712,0.4736190818052928,0.9033464991164349,False
0.8,3,True,0.9974688200298204,0.00035348998047304885,0.9969444663752429,0.0005243536545774807,1.1384961081790161,0.37291483613343146,1.0473868906978543,False
0.9,3,True,0.9972223238726562,0.0007419233672630272,0.9969444663752429,0.0002778574974132697,0.4877364230980078,0.6739635694250099,0.40818240122762955,False
1.0,3,True,0.9972064051166507,0.00014763905878588848,0.9969444663752429,0.0002619387414077856,0.6282319289368686,0.594027437893963,0.5871062213497887,False
