number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_ee_patience,params_ee_patience_decay,params_freq_min_count,params_freq_smoothing,params_intent_exit_margin,params_intent_head_hidden,params_intent_loss_fn,params_learning_rate_backbone,params_learning_rate_head,params_loss_coef_intent,params_loss_coef_slot,params_min_exit_layer,params_slot_head_hidden,params_tau_slot,params_unfrozen_ratio,params_use_freq_exit,params_warmup_proportion,params_weight_decay,state
0,0.9626179931634746,2026-08-21 17:45:50.095899,2026-08-21 18:03:45.133244,0 days 00:17:55.037345,32,0.2978254022286159,2,0.3663618432936917,,,0.2462939903482534,0,bce,1.0994335574766187e-05,0.008706020878304856,0.5099025726528951,0.4727780074568463,9,128,0.06877172495876586,0.4370861069626263,False,0.1715152489360717,7.068974950624602e-05,COMPLETE
1,0.9932486220621815,2026-08-21 18:03:45.375924,2026-08-21 18:32:30.161054,0 days 00:28:44.785130,16,0.08418523990223437,6,0.7751328233611146,,,0.2737068376069122,64,bce,0.000233596350262616,0.0007591104805282694,0.5650089137415928,0.42468443043576437,10,64,0.2546633740246392,0.6331731119758383,False,0.0507464999236124,0.0009565499215943821,COMPLETE
2,0.810967271375012,2026-08-21 18:32:30.413341,2026-08-21 19:16:46.390135,0 days 00:44:15.976794,8,0.23994362910538697,3,0.11586905952512971,2.0,0.379884089544096,0.20582453170688947,256,bce,1.913588048769229e-05,0.0040215545266902904,0.6261845713819336,0.5827429375390468,8,64,0.20707057549315308,0.17964325184672755,True,0.04267360942556104,0.08862326508576249,COMPLETE
3,0.9960557769271563,2026-08-21 19:16:46.640220,2026-08-21 19:44:00.972564,0 days 00:27:14.332344,16,0.22282845872753676,2,0.07697990982879299,5.0,0.6700633808593811,0.09030532181350111,64,bce,0.00011103647313054615,0.0007162786999897341,0.5034282764658811,0.6630265895704371,22,256,0.04383329786942253,0.7566455605042577,True,0.03432125154649618,2.7012557725439076e-05,COMPLETE
4,0.9816480756370294,2026-08-21 19:44:01.233138,2026-08-21 20:28:23.006027,0 days 00:44:21.772889,8,0.19948772601918974,3,0.9717820827209607,1.0,0.35635644493972085,0.11294557395634104,64,bce,0.0004325432427964555,0.005265761277157428,0.43504606856145117,0.6771638815650076,21,0,0.27099161086213236,0.823304869209203,True,0.031181862190302417,0.0011040511903162248,COMPLETE
