experiment,n,paired,mean,std,baseline_mean,delta,t_stat,t_pvalue,cohens_d,t_pvalue_fdr_reject_at_0.05
E1_no_freq_adaptive_exit,3,True,0.998825403378576,6.584304133947014e-05,0.9987976951429737,2.770823560227509e-05,0.5763106631713704,0.6226191079529086,0.5569768218414733,False
E2_bce_instead_of_asl,3,True,0.9987976951429737,2.4785732818102726e-05,0.9987976951429737,0.0,,,0.0,False
E3_no_depth_adaptive_patience,3,True,0.9987976951429737,2.4785732818102726e-05,0.9987976951429737,0.0,,,0.0,False
E4_no_exit_logit_smoothing,3,True,0.9987298971080861,0.00010522855976692968,0.9987976951429737,-6.77980348875451e-05,-1.4175415963087907,0.2920626770613341,-0.8868975966574366,False
E5_fully_frozen_backbone,3,True,0.5319802600891332,0.020734790081283854,0.9987976951429737,-0.46681743505384043,-38.96501313782832,0.000657993399368594,-31.839197481622183,True
E6_single_task_exit,3,True,0.9987874996004035,2.8938256477918913e-05,0.9987976951429737,-1.019554257020161e-05,-0.9992666088769908,0.4229321167137934,-0.3784239713909011,False
